id,price,number_of_reviews,No_of_days_booked_per_year,occupany_rate
3235644,230,30,22.0,6.0
3241725,260,11,15.0,4.0
3252388,97,45,66.0,18.0
3258647,76,0,0.0,0.0
3258846,99,2,8.0,2.3
3265363,100,0,0.0,0.0
3265454,141,0,0.0,0.0
3265623,70,3,7.0,2.0
3273212,125,10,17.0,4.7
3292801,499,16,26.0,7.0
3293605,70,0,0.0,0.0
3293857,100,0,0.0,0.0
3294190,151,6,7.0,2.0
3303708,130,261,255.0,70.0
3312756,70,64,73.0,20.0
3314460,68,41,55.0,15.0
3320611,210,10,34.0,9.3
3336347,100,6,7.0,2.0
3344147,148,70,95.0,26.0
3345112,75,62,84.0,23.0
3346480,501,1,0.0,0.0
3348273,260,7,26.0,7.0
3354638,114,304,255.0,70.0
3355284,280,0,0.0,0.0
3356118,145,0,0.0,0.0
3363334,128,44,62.0,17.0
3366329,210,14,22.0,6.0
3381253,500,17,26.0,7.0
3386508,150,0,0.0,0.0
3388259,150,193,208.0,57.0
3397607,369,268,255.0,70.0
3398460,155,0,0.0,0.0
3419343,141,145,172.0,47.0
3420169,121,0,0.0,0.0
3425683,45,42,40.0,11.0
3428159,260,13,11.0,3.0
3430420,150,286,255.0,70.0
3434061,168,98,88.0,24.0
3435050,105,189,146.0,40.0
3435150,130,40,40.0,11.0
3441367,90,115,255.0,70.0
3443643,150,122,146.0,40.0
3448484,128,228,255.0,70.0
3449646,100,19,43.0,11.7
3450353,110,93,80.0,22.0
3458216,175,15,22.0,6.0
3458682,175,0,0.0,0.0
3459210,59,5,12.0,3.3
3459211,88,2,8.0,2.3
3472789,199,18,26.0,7.0
3479087,170,246,255.0,70.0
3489740,225,20,29.0,8.0
3493189,219,25,33.0,9.0
3506366,60,0,0.0,0.0
3506647,226,1,0.0,0.0
3514344,121,77,238.0,65.3
3514345,144,49,55.0,15.0
3514607,195,0,0.0,0.0
3534015,161,98,99.0,27.0
3537489,79,5,7.0,2.0
3537554,175,0,0.0,0.0
3537564,226,62,97.0,26.7
3544825,93,3,11.0,3.0
3544842,430,17,15.0,4.0
3547060,70,9,15.0,4.0
3555202,65,4,7.0,2.0
3556787,130,0,0.0,0.0
3566505,119,304,255.0,70.0
3571746,127,118,139.0,38.0
3571764,80,1,0.0,0.0
3572606,79,22,51.0,14.0
3578881,70,117,117.0,32.0
3605555,400,17,26.0,7.0
3615325,291,13,30.0,8.3
3616706,121,111,113.0,31.0
3617278,70,18,95.0,26.0
3618990,60,101,146.0,40.0
3622287,125,158,142.0,39.0
3629529,131,59,58.0,16.0
3629608,151,5,33.0,9.0
3630251,65,16,29.0,8.0
3630319,97,94,120.0,33.0
3630323,325,64,66.0,18.0
3633953,100,134,150.0,41.0
3638974,260,0,0.0,0.0
3639096,349,72,190.0,52.0
3640539,127,86,95.0,26.0
3646003,150,65,69.0,19.0
3646402,168,122,153.0,42.0
3649898,110,16,39.0,10.7
3655585,53,165,197.0,54.0
3658967,179,0,0.0,0.0
3667038,65,74,84.0,23.0
3667635,325,21,22.0,6.0
3690751,124,163,219.0,60.0
3698340,155,57,73.0,20.0
3707861,99,215,255.0,70.0
3713658,99,95,113.0,31.0
3742551,100,12,18.0,5.0
3752438,349,33,29.0,8.0
3759399,90,0,0.0,0.0
3761574,195,3,6.0,1.7
3762356,117,273,255.0,70.0
3769632,142,0,0.0,0.0
3775894,190,4,15.0,4.0
